Traffic Report ID,Published Date,Issue Reported,Location,Latitude,Longitude,Address,Status,Status Date,Agency
4AA810B483D215AB1EED1A9F927EE2A4AAD12B73_1737043383,2025-01-16 16:03:03+00:00,TRFC HAZD/ DEBRIS,POINT (-97.89133 30.301719),30.301719,-97.89133,Circleview Dr / Creeks Edge Pkwy,ARCHIVED,01/16/2025 04:30:26 PM +0000,TRAVIS COUNTY SHERIF
87A04910C0404A196765C0E47D37DE16F64886BA_1644221275,2022-02-07 08:07:55+00:00,Traffic Hazard,POINT (-97.71195 30.310435),30.310435,-97.71195,Harmon Ave & E 51st St,ARCHIVED,02/07/2022 08:40:03 AM +0000,
9AE17B153A32567D1646CAA8C4010174C30AC349_1526836498000,2018-05-20 17:14:00+00:00,Traffic Impediment,POINT (-97.878441 30.200595),30.200595,-97.878441,W Slaughter Ln & Escarpment Blvd,ARCHIVED,05/20/2018 06:15:00 PM +0000,
BE98FBB5FEF1A2A7CE8BE317FCBCE6B1912024C3_1692312496,2023-08-17 22:48:16+00:00,Traffic Hazard,POINT (-97.648257 30.30018),30.30018,-97.648257,Johnny Morris Rd / Loyola Ln,ARCHIVED,08/18/2023 12:25:04 AM +0000,
8F7A4CF1D8FB52D12619FB0C6CAFC42ABF5A5E61_1612333308,2021-02-03 06:21:48+00:00,Traffic Hazard,POINT (-97.717836 30.237881),30.237881,-97.717836,4408-4520 ELMONT DR,ARCHIVED,02/03/2021 06:35:03 AM +0000,
E1687F7478020253F747B6F9BAF48D571471B18C_1533763688,2018-08-08 21:28:08+00:00,COLLISION,POINT (-97.546501 30.349126),30.349126,-97.546501,E Us 290 Hwy Eb & Shadowglen Blvd,ARCHIVED,08/08/2018 10:20:02 PM +0000,
589426A8623F4C5968A9221251D565E029D102B9_1530640161,2018-07-03 17:49:21+00:00,Traffic Impediment,POINT (-97.818723 30.208539),30.208539,-97.818723,2900-3014 W William Cannon Dr,ARCHIVED,07/03/2018 06:05:02 PM +0000,
6FD599B68B363C01A1296645DA4305D3313EBB3F_1581030128,2020-02-06 23:02:08+00:00,Traffic Hazard,POINT (-97.74111 30.268603),30.268603,-97.74111,E 7th St & Brazos St,ARCHIVED,02/06/2020 11:15:05 PM +0000,
BAF253B20F891347A7F8122930309B27DB1E3835_1731383817,2024-11-12 03:56:57+00:00,Traffic Hazard,POINT (-97.75063 30.28417),30.28417,-97.75063,Old 19th St / David St,ARCHIVED,11/12/2024 05:05:20 AM +0000,AUSTIN PD           
ECFECE8663D32713C352CAAB824C71F53F9974D2_1643278553,2022-01-27 10:15:53+00:00,TRFC HAZD/ DEBRIS,POINT (-97.681028 30.177092),30.177092,-97.681028,8800-BLK BURLESON RD,ARCHIVED,01/27/2022 10:25:03 AM +0000,
8D62C4400092573EFA143A5159280E6A68AF5274_1523626428000,2018-04-13 13:33:00+00:00,LOOSE LIVESTOCK,POINT (-97.468292 30.347253),30.347253,-97.468292,Voelker Ln & Quarterhorse Dr,ARCHIVED,04/13/2018 02:40:00 PM +0000,
D4209F4D46F6450565F5B3CDE5F1978861E6E0D4_1554389854,2019-04-04 14:57:34+00:00,COLLISN/ LVNG SCN,POINT (-97.682811 30.435762),30.435762,-97.682811,2013 W WELLS BRANCH PKWY,ARCHIVED,04/04/2019 03:40:04 PM +0000,
4DA81066745689FC22FB717C0C6A7EDD96ED0FFB_1590331106,2020-05-24 14:38:26+00:00,COLLISION WITH INJURY,POINT (-97.630243 30.453844),30.453844,-97.630243,Swenson Farms Blvd & W Pfennig Ln,ARCHIVED,05/24/2020 02:45:03 PM +0000,
38B6B24B01F8C8E5A8A0A482C8FF2D2D67247995_1572297507,2019-10-28 21:18:27+00:00,COLLISION,POINT (-97.500681 30.35043),30.35043,-97.500681,12815-13038 Kimbro Rd,ARCHIVED,10/28/2019 09:40:04 PM +0000,
375F9609C9962CCE0AD6CCAAABD80362ECD2B07F_1619492435,2021-04-27 03:00:35+00:00,Traffic Hazard,POINT (-97.849809 30.183523),30.183523,-97.849809,Brodie Ln & W Slaughter Ln,ARCHIVED,04/27/2021 03:10:02 AM +0000,
8815061C1A6C63398B9A2DFB1F44AAE89DD59BFD_1625030495,2021-06-30 05:21:35+00:00,COLLISION,POINT (-97.794506 30.304159),30.304159,-97.794506,1821 Westlake Dr,ARCHIVED,06/30/2021 05:50:03 AM +0000,
B3AD32A369754EE7ACF23C5370CCF5B401604A78_1717545714,2024-06-05 00:01:54+00:00,Crash Urgent,POINT (-97.752197 30.242837),30.242837,-97.752197,2111 S Congress Ave,ARCHIVED,06/05/2024 12:50:19 AM +0000,AUSTIN PD           
64FDF750523380C3B4B5F7C242014FC3C2EE0777_1509360139000,2017-10-30 10:42:00+00:00,Traffic Hazard,POINT (-97.816021 30.207516),30.207516,-97.816021,2700-2710 W William Cannon Dr,ARCHIVED,10/30/2017 10:50:00 AM +0000,
17360DCE042D71F15879520E4C2254F00C000FA3_1636063321,2021-11-04 22:02:01+00:00,COLLISION/PRIVATE PROPERTY,POINT (-97.821525 30.22774),30.22774,-97.821525,5601 Brodie Ln,ARCHIVED,11/04/2021 10:25:03 PM +0000,
99615B42BAC42A45678BD812782B17BE64C4C6A5_1735496187,2024-12-29 18:16:27+00:00,TRFC HAZD/ DEBRIS,POINT (-97.872637 30.150401),30.150401,-97.872637,3400-3650 S Sh 45 W Wb,ARCHIVED,12/29/2024 06:40:16 PM +0000,TRAVIS COUNTY SHERIF
A976B05552FC318460CFB93E852FFF4BE4614E0D_1683334427,2023-05-06 00:53:47+00:00,COLLISION,POINT (-97.694278 30.100449),30.100449,-97.694278,9810-9912 S Us 183 Hwy,ARCHIVED,05/06/2023 01:00:04 AM +0000,
8DDFD1BD96D0C9610B5B51F82D809E25F49304E7_1743596606,2025-04-02 12:23:26+00:00,Crash Urgent,POINT (-97.751533 30.334563),30.334563,-97.751533,2913 Northland Dr,ARCHIVED,04/02/2025 02:25:21 PM +0000,AUSTIN PD           
B7553C6080F116F0115B1F080E03484B98292D8B,2017-10-10 16:43:00+00:00,Traffic Hazard,POINT (-97.7290857 30.2785151),30.2785151,-97.7290857,E Martin Luther King Jr Blvd & N Ih 35 Svrd Nb,ARCHIVED,05/18/2018 01:00:00 AM +0000,
4AC7E515771155A9EFA63AC6840EA7199C222C96_1678733203,2023-03-13 18:46:43+00:00,Crash Urgent,POINT (-97.705073 30.344024),30.344024,-97.705073,100 E Anderson Ln Svrd Wb,ARCHIVED,03/13/2023 08:05:03 PM +0000,
B37376966AC6D8C371B3A1D74862360FE5710E1C_1576781875,2019-12-19 18:57:55+00:00,Traffic Hazard,POINT (-97.851135 30.181534),30.181534,-97.851135,10030-10037 Brodie Ln,ARCHIVED,12/19/2019 07:05:03 PM +0000,
56CFA95A090E34F485359A055DFC3BB8B6A9C820_1742860383,2025-03-24 23:53:03+00:00,Crash Urgent,POINT (-97.710985 30.228488),30.228488,-97.710985,Penick Dr / E Riverside Dr,ARCHIVED,03/25/2025 12:00:21 AM +0000,AUSTIN PD           
BBD10F0F88F298FE0AE1D706E0600149C59ADB04_1649032003,2022-04-04 00:26:43+00:00,Traffic Hazard,POINT (-97.747329 30.354091),30.354091,-97.747329,7200 N Mopac Expy Nb,ARCHIVED,04/04/2022 02:25:03 AM +0000,
31E32558FDF2ACFA6E47AFEFA271580600D36202_1613088387,2021-02-12 00:06:27+00:00,Traffic Hazard,POINT (-97.710429 30.388763),30.388763,-97.710429,Kramer Ln & Metric Blvd,ARCHIVED,02/12/2021 02:40:03 AM +0000,
D9B55863436F0FDA0DB648E8B219654141FC8270_1737841278,2025-01-25 21:41:18+00:00,COLLISION,POINT (-97.556681 30.340902),30.340902,-97.556681,200-217 E PARSONS ST,ARCHIVED,01/25/2025 10:25:14 PM +0000,TRAVIS COUNTY SHERIF
4CCE220495B298C3BCF19B23EBF3FA9A95FC3F8D_1687190843,2023-06-19 16:07:23+00:00,TRFC HAZD/ DEBRIS,POINT (-97.951526 30.227878),30.227878,-97.951526,11126-11199 CIRCLE DR,ARCHIVED,06/19/2023 04:45:17 PM +0000,
4167E68DD6FFF130712C9F803F7F7830B67E0815_1753558842_traffic_incident,2025-07-26 19:40:42+00:00,TRFC HAZD/ DEBRIS,POINT (-97.592797 30.352783),30.352783,-97.592797,12100-12324 N SH 130 SVRD SB,ARCHIVED,07/26/2025 08:00:32 PM +0000,TRAVIS COUNTY SHERIF
3CA160CEAE9440FF85D9E90C5CFF9DA4BCCCD286_1547049307,2019-01-09 15:55:07+00:00,Traffic Hazard,POINT (-97.771768 30.273513),30.273513,-97.771768,100 S Mopac Expy Nb,ARCHIVED,01/09/2019 04:15:04 PM +0000,
FEA38584BFBF6BA455B567DC28463B5E972B83D6_1510149660000,2017-11-08 14:01:00+00:00,COLLISION WITH INJURY,POINT (-97.785991 30.267835),30.267835,-97.785991,2620-2701 Bee Caves Rd,ARCHIVED,11/08/2017 02:40:00 PM +0000,
855445439C828E15A36D1D2016C2E24C90B52C0F_1720938564,2024-07-14 06:29:24+00:00,Traffic Hazard,POINT (-97.742047 30.23395),30.23395,-97.742047,1300-1329 E Oltorf St,ARCHIVED,07/14/2024 08:35:15 AM +0000,AUSTIN PD           
ADD97DAEFA483805F4A52716BA886AC2D97841B3_1573738005,2019-11-14 13:26:45+00:00,COLLISION,POINT (-97.63526 30.1207),30.1207,-97.63526,FM 812 RD & ELROY RD,ARCHIVED,11/14/2019 02:20:04 PM +0000,
100643D9E1271A7092C638AFA0DC268F20F3BD1C_1521527303000,2018-03-20 06:28:00+00:00,COLLISION WITH INJURY,POINT (-97.659926 30.455919),30.455919,-97.659926,Grand Avenue Pkwy & Central Commerce Dr,ARCHIVED,03/20/2018 12:10:00 PM +0000,
D7B61E11A946B8C39537D7457BCBB7B1493F13A7_1686187422,2023-06-08 01:23:42+00:00,COLLISION,POINT (-97.588181 30.249829),30.249829,-97.588181,13200-13811 Fm 969 Rd,ARCHIVED,06/08/2023 01:30:04 AM +0000,
DC6034999593E7BA209A8125ACE188ECCB0790C4_1542671420,2018-11-19 23:50:20+00:00,BLOCKED DRIV/ HWY,POINT (-98.039363 30.415172),30.415172,-98.039363,501 TARBET DR,ARCHIVED,11/20/2018 12:20:04 AM +0000,
C815C1EA05A0C9CD15BAF385FB76353EFDE3E50C_1699028804,2023-11-03 16:26:44+00:00,Crash Urgent,POINT (-97.736646 30.254833),30.254833,-97.736646,50 N Ih 35 Nb,ARCHIVED,11/03/2023 04:35:11 PM +0000,
F94AD4F1C2806CBB1269483EC338538BEB996AF8_1523824126000,2018-04-15 20:28:00+00:00,Traffic Hazard,POINT (-97.704003 30.325542),30.325542,-97.704003,956 La Posada Dr,ARCHIVED,04/15/2018 09:20:00 PM +0000,
49DD744FF126341803FBB56A028DC0177C24F979_1623590154,2021-06-13 13:15:54+00:00,Crash Urgent,POINT (-97.840291 30.237064),30.237064,-97.840291,5440-5450 W Us 290 Hwy Svrd Wb,ARCHIVED,06/13/2021 02:45:04 PM +0000,
FC5F865A45DF8F363A822FCDD80C502A08C6B808_1723967044,2024-08-18 07:44:04+00:00,Crash Urgent,POINT (-97.679218 30.401132),30.401132,-97.679218,12234 N LAMAR BLVD,ARCHIVED,08/18/2024 10:55:15 AM +0000,AUSTIN PD           
00AF91033AEFE00A141CF9CFF3BFE5694379B03D_1538496621,2018-10-02 16:10:21+00:00,Traffic Impediment,POINT (-97.712537 30.21198),30.21198,-97.712537,Montopolis Dr & E Ben White Blvd Svrd Eb,ARCHIVED,10/02/2018 04:25:03 PM +0000,
C1D262A03495880AB003DDE6D06A10E9E84013F5_1560978871,2019-06-19 21:14:31+00:00,COLLISN/ LVNG SCN,POINT (-97.691393 30.16999),30.16999,-97.691393,5900-5914 S Us 183 Hwy Sb,ARCHIVED,06/19/2019 09:25:03 PM +0000,
20065308396005E7D06AC6A1E08795F6EE59386C_1543797447,2018-12-03 00:37:27+00:00,COLLISION/PRIVATE PROPERTY,POINT (-98.069601 30.363557),30.363557,-98.069601,21814 W Sh 71,ARCHIVED,12/03/2018 01:00:03 AM +0000,
8B0CE07A17B0659637EC25373E8F83EA99FC8B2F_1536398666,2018-09-08 09:24:26+00:00,Traffic Impediment,POINT (-97.729482 30.329882),30.329882,-97.729482,W Koenig Ln & Grover Ave,ARCHIVED,09/08/2018 09:55:02 AM +0000,
0E315B1BE59D3D1B148177D3D2C3CC3FA6ADA692_1524304278000,2018-04-21 09:51:00+00:00,Traffic Impediment,POINT (-97.581094 30.345285),30.345285,-97.581094,9422-9524 E Parmer Ln,ARCHIVED,04/21/2018 10:15:00 AM +0000,
9D758147F7E39A4CB91081AB512FEC6385AA6E80_1696504605,2023-10-05 11:16:45+00:00,COLLISION,POINT (-97.612581 30.380677),30.380677,-97.612581,5500-blk E Howard Ln,ARCHIVED,10/05/2023 12:00:20 PM +0000,
9A6B59DA46371D86EB75259C956AEE4B580C0119_1551136462,2019-02-25 23:14:22+00:00,Crash Urgent,POINT (-97.736652 30.358946),30.358946,-97.736652,2706-2812 W ANDERSON LN,ARCHIVED,02/26/2019 01:00:06 AM +0000,
3D4BCE24D3E7869A1459FD4CD1BFE131F5AD2A81_1715486513,2024-05-12 04:01:53+00:00,Crash Urgent,POINT (-97.76791 30.189123),30.189123,-97.76791,Bluff Springs Rd / E William Cannon Dr,ARCHIVED,05/12/2024 04:40:12 AM +0000,AUSTIN PD           
B96F2BB8A0DF8FC7BC561C8707AEE3753D34AF34_1724935214,2024-08-29 12:40:14+00:00,Crash Service,POINT (-97.666332 30.456164),30.456164,-97.666332,15800 N IH 35 NB,ARCHIVED,08/29/2024 01:05:16 PM +0000,AUSTIN PD           
F4135B99ABD31C4D8F572A3D8CDA405E5EE86B62_1676584286,2023-02-16 21:51:26+00:00,Traffic Hazard,POINT (-97.59069 30.311013),30.311013,-97.59069,9200-10219 Blue Bluff Rd,ARCHIVED,02/16/2023 11:50:03 PM +0000,
