model_year,mileage,engine,accident,price,fuel_type_E85 Flex Fuel,fuel_type_Electric,fuel_type_Gasoline,fuel_type_Hybrid,brand_Audi,brand_BMW,brand_Cadillac,brand_Chevrolet,brand_Dodge,brand_Ford,brand_GMC,brand_Honda,brand_Hummer,brand_Hyundai,brand_Jaguar,brand_Jeep,brand_Kia,brand_Land,brand_Lexus,brand_Lincoln,brand_MINI,brand_Maserati,brand_Mazda,brand_Mercedes-Benz,brand_Nissan,brand_Pontiac,brand_Porsche,brand_RAM,brand_Subaru,brand_Tesla,brand_Toyota,brand_Volkswagen,model_335 i,model_528 i xDrive,model_911 R,model_A3 2.0T Tech Premium,model_A4 2.0T Premium,model_A4 2.0T Premium Plus quattro,model_A4 3.2 Premium Plus quattro,model_A7 Premium,model_ALPINA B7 Base,model_AMG GLE 43 Coupe 4MATIC,model_Acadia SLT-1,model_BRZ Limited,model_C-Class C 300 4MATIC Sport,model_CX-30 Premium Package,model_CX-7 Grand Touring,model_Camaro 1LT,model_Cayenne S,model_Challenger GT,model_Challenger SXT,model_Cooper Base,model_Corvette Stingray w/3LT,model_Corvette Z06,model_Crosstrek 2.0i Limited,model_E-Class E 350,model_E-Class E 350 4MATIC,model_Escalade ESV Platinum,model_Expedition Max XLT,model_F-150 Lariat,model_F-150 XLT,model_F-150 XLT SuperCab,model_F-250 XLT,model_F-350 King Ranch,model_Firebird Base,model_Focus SE,model_Fusion SE,model_GL-Class GL 450 4MATIC,model_GTI Base,model_Genesis Coupe 3.8 Base,model_Ghibli S Q4 GranSport,model_Gladiator Rubicon,model_H2 Base,model_IS 350 F Sport,model_Integra LS,model_Jetta 1.4T SE,model_LS 460 Base,model_M3 Base,model_M340 i xDrive,model_MDX Technology,model_MKZ Base,model_Maxima SL,model_Model 3 Long Range,model_Model Y Long Range,model_Murano SL,model_Mustang EcoBoost Premium,model_Mustang GT Premium,model_Palisade SEL,model_Pathfinder S,model_Protege DX,model_Q7 55 Prestige,model_Quattroporte S Q4 GranLusso,model_RX 350 F Sport Performance,model_Rover Defender V8,model_Rover Range Rover 3.0L Supercharged HSE,model_Rover Range Rover Evoque Pure,model_Rover Range Rover P530 SE LWB 7 Seat,model_Rover Range Rover Sport HSE,model_Rover Range Rover Sport HSE Dynamic,model_Rover Range Rover Velar P250 SE R-Dynamic,model_S2000 Base,model_S4 3.0 Prestige,model_S5 3.0T Prestige,model_SLC 300 Base,model_SQ5 3.0T Premium Plus,model_Sierra 1500 SLT,model_Sierra 2500 SLE,model_Sonata GLS,model_Tahoe Premier,model_Taurus SHO,model_Telluride LX,model_Terrain SLE,model_Terrain SLT-1,model_Thunderbird Premium,model_Transit Connect XLT,model_Transit-350 XLT,model_Tundra SR5,model_Wrangler Rubicon,model_Wrangler SE,model_Wrangler Sport,model_Wrangler Unlimited Sport,model_X6 M Base,model_X6 xDrive35i,model_X7 xDrive40i,model_XF Luxury,model_Yukon XL SLT,transmission_5-Speed,transmission_6-Speed,transmission_7-Speed,transmission_8-Speed,transmission_9-Speed,transmission_A/T,transmission_CVT Transmission,transmission_M/T,transmission_Transmission Overdrive Switch,transmission_Transmission w/Dual Shift Mode,ext_col_Blue,ext_col_Gray,ext_col_Green,ext_col_Orange,ext_col_Platinum Quartz Metallic,ext_col_Purple,ext_col_Red,ext_col_Silver,ext_col_Summit White,ext_col_White,int_col_Black,int_col_Blue,int_col_Brown,int_col_Gray,int_col_Jet Black,int_col_Mesa,int_col_Red,int_col_Silver,int_col_White,int_col_black,int_col_–
2018,74349,375.0,0,11000,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2007,80000,300.0,0,8250,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2009,91491,300.0,0,15000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022,2437,335.0,0,63500,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2001,111000,200.0,0,7850,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
2003,124756,140.0,1,4995,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,107380,333.0,0,26500,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2019,51300,193.0,1,25500,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
2016,87842,200.0,0,13999,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
2007,152270,300.0,1,6700,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
